trade_id,quantity,underlying,expiry,payment_time,strike,call_put,type
1,10,ASBB,3.00104,3.00651,40,CALL,REGULAR
2,10,ARRS,0.00198,0.00745,53,PUT,REGULAR
3,-10,ANIP,0.04085,0.04632,48,CALL,REGULAR
4,10,AEY,4.62112,4.62659,102,PUT,REGULAR
5,10,CAFD,2.38194,2.38741,144,CALL,REGULAR
6,-10,ADMA,4.12781,4.13328,102,PUT,REGULAR
7,10,ADTN,1.43993,1.4454,144,CALL,REGULAR
8,10,SHLM,2.80181,2.80728,20,PUT,ODD
9,-10,SRCE,1.57883,1.5843,22,CALL,REGULAR
10,10,ARCW,1.30618,1.31165,64,PUT,REGULAR
11,10,ALJJ,3.2893,3.29477,32,CALL,REGULAR
12,-10,SRCE,4.91307,4.91854,106,PUT,REGULAR
13,10,JOBS,0.03799,0.04346,48,CALL,REGULAR
14,10,TWOU,0.56715,0.57262,40,PUT,REGULAR
15,-10,ASBB,1.73037,1.73584,30,CALL,REGULAR
16,10,SWIN,2.39013,2.3956,115,PUT,ODD
17,10,AGNC,4.30208,4.30755,125,CALL,REGULAR
18,-10,SRCE,1.46913,1.4746,42,PUT,REGULAR
19,10,SSRX,2.37645,2.38192,142,CALL,REGULAR
20,10,SRCE,3.47886,3.48433,67,PUT,REGULAR
21,-10,SHLM,0.26669,0.27216,61,CALL,REGULAR
22,10,AGNCB,4.91637,4.92184,141,PUT,REGULAR
23,10,SHLM,0.53722,0.54269,74,CALL,REGULAR
24,-10,AAON,1.303,1.30847,107,PUT,ODD
25,10,FUBC,3.65414,3.65961,94,CALL,REGULAR
26,10,UHAL,1.70386,1.70933,85,PUT,REGULAR
27,-10,VNET,0.64412,0.64959,80,CALL,REGULAR
28,10,UHAL,0.82417,0.82964,44,PUT,REGULAR
29,10,ADTN,4.91794,4.92341,87,CALL,REGULAR
30,-10,SWIN,1.84646,1.85193,62,PUT,REGULAR
31,10,FCCY,3.96899,3.97446,70,CALL,REGULAR
32,10,SSRX,3.43679,3.44226,28,PUT,ODD
33,-10,AGNC,4.23414,4.23961,27,CALL,REGULAR
34,10,ANSS,1.11018,1.11565,125,PUT,REGULAR
35,10,AGNCB,1.87214,1.87761,87,CALL,REGULAR
36,-10,UHAL,1.00259,1.00806,128,PUT,REGULAR
37,10,FUBC,4.35157,4.35704,130,CALL,REGULAR
38,10,AMCX,2.59453,2.6,41,PUT,REGULAR
39,-10,TWOU,4.72866,4.73413,47,CALL,REGULAR
40,10,AMRK,4.06272,4.06819,87,PUT,ODD
41,10,AMRK,3.17149,3.17696,105,CALL,REGULAR
42,-10,ABMD,2.58524,2.59071,119,PUT,REGULAR
43,10,SWIN,1.87184,1.87731,81,CALL,REGULAR
44,10,ASBB,4.83746,4.84293,77,PUT,REGULAR
45,-10,AEZS,2.32637,2.33184,148,CALL,REGULAR
46,10,ANSS,4.42939,4.43486,77,PUT,REGULAR
47,10,SWIN,1.05091,1.05638,118,CALL,REGULAR
48,-10,AEY,3.15814,3.16361,59,PUT,ODD
49,10,ANIP,4.43315,4.43862,38,CALL,REGULAR
50,10,AGNC,0.13805,0.14352,120,PUT,REGULAR
51,-10,FCTY,2.95433,2.9598,111,CALL,REGULAR
52,10,FLWS,1.0847,1.09017,99,PUT,REGULAR
53,10,AGNC,1.50386,1.50933,143,CALL,REGULAR
54,-10,ARRS,3.67877,3.68424,134,PUT,REGULAR
55,10,JOBS,4.53581,4.54128,65,CALL,REGULAR
56,10,ARCW,2.68864,2.69411,53,PUT,ODD
57,-10,ANSS,1.97888,1.98435,43,CALL,REGULAR
58,10,PIH,0.65579,0.66126,102,PUT,REGULAR
59,10,AGNC,4.24491,4.25038,146,CALL,REGULAR
60,-10,CAFD,0.64676,0.65223,103,PUT,REGULAR
61,10,UHAL,0.35932,0.36479,59,CALL,REGULAR
62,10,SHLM,1.00405,1.00952,104,PUT,REGULAR
63,-10,EGHT,0.11022,0.11569,105,CALL,REGULAR
64,10,AGNCB,0.16013,0.1656,98,PUT,ODD
65,10,JOBS,2.67695,2.68242,40,CALL,REGULAR
66,-10,PIH,2.99892,3.00439,123,PUT,REGULAR
67,10,EGHT,3.04421,3.04968,49,CALL,REGULAR
68,10,ADTN,4.44371,4.44918,28,PUT,REGULAR
69,-10,ADTN,3.04695,3.05242,115,CALL,REGULAR
70,10,AGNCP,2.37034,2.37581,44,PUT,REGULAR
71,10,AMRK,1.15937,1.16484,114,CALL,REGULAR
72,-10,ALJJ,3.55613,3.5616,81,PUT,ODD
73,10,ADTN,4.84098,4.84645,83,CALL,REGULAR
74,10,SHLM,0.32703,0.3325,42,PUT,REGULAR
75,-10,ACAD,3.27056,3.27603,63,CALL,REGULAR
76,10,ANIP,0.43891,0.44438,104,PUT,REGULAR
