trade_id,pv,delta,vega
1,390.635,8.908,2.306
2,239.037,-10.0,0.0
3,-201.071,-10.0,-0.0
4,236.859,-3.118,7.344
5,0.0,0.0,0.0
6,-532.871,9.852,-0.281
7,232.237,5.859,6.459
8,0.07,-0.006,0.047
9,-1189.285,-9.999,-0.009
10,0.575,-0.056,0.21
11,631.098,9.722,1.057
12,-234.568,1.776,-8.069
13,952.114,10.0,0.0
14,110.095,-10.0,0.0
15,-434.549,-9.645,-0.731
16,674.379,-10.051,1.16
17,0.0,0.0,0.0
18,-1.478,0.052,-0.252
19,20.629,1.485,1.863
20,60.125,-0.774,3.782
21,-607.258,-9.998,-0.004
22,417.796,-2.359,10.164
23,488.096,9.733,0.548
24,-80.781,1.518,-3.857
25,87.772,4.426,5.201
26,420.179,-10.0,0.0
27,-94.164,-5.093,-2.344
28,45.788,-8.155,0.936
29,726.155,8.797,6.144
30,-178.049,6.022,-2.399
31,809.436,9.889,0.83
32,25.644,-0.88,1.522
33,-15.055,-4.157,-1.74
34,668.164,-10.0,0.0
35,735.241,8.918,3.782
36,-854.67,10.0,-0.0
37,46.765,2.617,4.68
38,32.726,-3.241,2.41
39,-2.048,-0.752,-0.874
40,606.627,-8.744,1.436
41,8.053,1.16,0.773
42,-178.06,4.078,-6.941
43,22.13,2.138,1.823
44,246.378,-2.826,5.292
45,-110.233,-3.909,-6.346
46,151.572,-7.558,3.572
47,0.576,0.111,0.137
48,-34.71,0.945,-2.823
49,349.48,9.836,0.586
50,978.353,-10.0,0.0
51,-175.931,-5.426,-6.143
52,576.042,-10.0,0.0
53,0.0,0.0,0.0
54,-914.739,9.261,-0.781
55,887.186,9.562,2.829
56,0.749,-0.051,0.282
57,-137.579,-9.566,-0.7
58,82.875,-4.489,3.217
59,0.0,0.0,0.0
60,-651.326,10.0,-0.0
61,0.0,0.0,0.0
62,88.499,-2.529,3.884
63,-0.0,-0.0,-0.0
64,1.162,-0.108,0.19
65,1062.957,9.98,0.151
66,-257.594,5.071,-6.937
67,73.626,5.179,2.268
68,1.342,-0.034,0.298
69,-487.585,-7.753,-7.231
70,11.863,-0.34,1.247
71,0.107,0.034,0.024
72,-162.734,2.626,-5.725
73,746.299,8.915,5.663
74,0.0,-0.0,0.0
75,-301.137,-7.601,-4.066
76,345.974,-9.998,0.004
77,0.0,0.0,0.0
78,-137.312,3.45,-5.495
79,179.211,5.483,4.494
80,464.317,-6.731,4.06
81,-55.831,-2.979,-3.404
82,0.111,-0.007,0.047
83,725.38,9.983,0.064
84,-292.754,8.763,-1.701
85,29.033,2.102,1.753
86,0.0,-0.0,0.0
87,-912.488,-9.999,-0.01
88,55.808,-2.122,5.796
89,31.175,2.164,2.827
90,-77.498,4.886,-3.26
91,457.224,8.304,5.113
92,717.029,-10.0,0.0
93,-438.532,-9.255,-2.615
94,4.216,-0.288,2.058
95,0.003,0.001,0.004
96,-295.147,10.041,-0.592
97,350.972,8.335,2.288
98,137.653,-3.436,3.306
99,-1031.016,-9.857,-1.061
100,1225.218,-9.998,0.001
101,674.809,8.645,6.259
102,-141.971,6.811,-5.244
103,112.649,4.081,4.13
104,0.046,-0.005,0.012
105,-0.08,-0.022,-0.06
106,344.537,-3.335,6.217
107,739.485,10.0,0.0
108,-156.395,3.251,-10.435
109,613.602,10.0,0.0
110,1.797,-0.128,0.33
111,-987.061,-10.0,-0.0
112,131.964,-1.859,6.213
113,227.539,8.85,1.261
114,-284.832,5.098,-3.676
115,0.001,0.0,0.001
116,473.343,-7.77,5.589
117,-1123.128,-9.985,-0.16
118,245.525,-8.302,0.9
119,29.368,2.768,2.232
120,-484.297,4.673,-6.37
121,1185.815,10.0,0.002
122,194.688,-5.072,2.839
123,-606.477,-8.831,-5.904
124,467.309,-8.773,1.041
125,39.925,4.023,1.746
126,-257.224,9.38,-1.216
127,0.107,0.044,0.072
128,0.087,-0.001,0.019
129,-395.239,-9.968,-0.128
130,67.005,-0.852,4.041
131,771.17,9.629,1.7
132,-136.813,1.736,-4.134
133,373.224,9.34,1.077
134,644.462,-6.454,3.99
135,-105.095,-8.913,-1.057
136,4.053,-0.376,1.048
137,235.903,7.107,6.594
138,-11.6,0.553,-1.076
139,84.903,4.461,5.996
140,164.995,-4.106,7.554
141,-20.001,-3.611,-1.869
142,0.0,-0.0,0.0
143,131.6,8.15,1.537
144,-66.586,2.011,-5.325
145,218.731,6.592,7.669
146,332.895,-10.0,0.0
147,-3.03,-1.071,-0.647
148,305.879,-4.678,4.072
149,0.564,0.13,0.251
150,-319.13,3.677,-6.769
151,416.978,8.401,3.465
152,416.413,-4.624,5.787
153,-2.547,-0.416,-1.248
154,671.371,-7.531,2.915
155,865.764,9.389,2.671
156,-0.0,0.0,-0.0
157,880.373,10.0,0.0
158,69.203,-2.047,6.09
159,-822.249,-9.753,-1.617
160,25.99,-5.737,1.693
161,424.924,7.16,8.103
162,-26.29,1.374,-6.686
163,152.07,5.063,5.142
164,3.315,-0.279,0.411
165,-812.767,-9.722,-1.324
166,697.743,-8.26,1.625
167,447.587,7.902,6.583
168,-425.227,10.76,-0.104
169,223.398,9.33,0.498
170,107.992,-6.556,2.874
171,-446.716,-9.544,-1.601
172,169.719,-1.506,6.586
173,888.312,9.427,2.978
174,-0.187,0.017,-0.085
175,1028.526,9.998,0.016
176,0.0,0.0,0.0
177,-244.19,-6.824,-4.262
178,0.245,-0.013,0.095
179,345.125,7.979,4.062
180,-75.68,1.958,-3.488
181,565.252,10.0,0.0
182,76.317,-4.918,4.141
183,-312.31,-6.563,-5.531
